h,chunk_mean,Hsig,S,A,WavePeriods,WaveHeights,dPddz_W50,,,,dPddt_W50,dPddt_W50N,S_W50,Hoverh,dPddz_WM50,dPddzcrit
0.0058874,'11-Sep-2021 22:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0050483,'11-Sep-2021 22:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0055212,'11-Sep-2021 22:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0056425,'11-Sep-2021 22:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0054035,'11-Sep-2021 22:39:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.005597,'11-Sep-2021 22:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0067634,'11-Sep-2021 23:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0084001,'11-Sep-2021 23:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.0095253,'11-Sep-2021 23:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.010077,'11-Sep-2021 23:29:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.010266,'11-Sep-2021 23:39:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.010991,'11-Sep-2021 23:50:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.011542,'12-Sep-2021 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.01141,'12-Sep-2021 00:10:00',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.014073,'12-Sep-2021 00:19:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.18911,'12-Sep-2021 00:30:00',0.26133,0.65063,0.31569,19.9551,0.22694,1.2834,1.2292,1.2122,1.062,0.37031,8.4205,0.15038,1.2001,1.3485,
0.30134,'12-Sep-2021 00:40:00',0.33394,0.46405,0.68214,22.0329,0.28735,1.2602,1.2732,1.233,1.0818,0.51381,9.202,0.17053,0.95358,1.3891,
0.42258,'12-Sep-2021 00:50:00',0.40344,0.30085,0.64834,19.6441,0.3477,1.2889,1.2801,1.2551,1.0854,0.58947,6.8242,0.16715,0.82281,1.3986,
0.53543,'12-Sep-2021 01:00:00',0.47937,0.37459,0.58174,24.5678,0.39722,1.3434,1.4262,1.2674,1.1055,0.65989,11.4834,0.16424,0.74187,1.4579,
