dPddzcrit,WaveHeightsWbW,WavePeriodsWbW,HoverhWbW,dPddt_W,dPddz_WM,dPddz_W,,,,,,,S_W,hW,PercentLiq_Hh,,,,,PercentLiq_S,,,,dPddt_WO,dPddt_WN,dPddt_WON,S_WO
1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44085,8.5752,14.4109,13.0734,32.716,0.69324,10.2663,23.6256,33.3333,NaN,NaN,NaN,NaN
2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2939,10.8839,17.1373,17.4312,31.4815,1.2132,13.9467,22.2883,39.3939,NaN,NaN,NaN,NaN
,0.52227,12.1125,0.48422,0.81774,1.231,1.4192,1.6717,1.9674,1.1441,1.231,1.2057,1.0539,0.15341,1.0786,,,,,,,,,,0.13546,6.0369,1,0.025242
,0.61675,12.3955,0.57707,0.85261,1.2895,1.5156,1.5937,1.9897,1.238,1.1385,1.2895,1.2363,0.15696,1.0687,,,,,,,,,,0.15631,5.4545,1,0.029262
,0.66666,18.6782,0.56783,0.8745,1.4401,1.624,1.6272,2.0565,1.4401,1.3593,1.2174,1.1662,0.16219,1.174,,,,,,,,,,0.11213,7.7991,1,0.020027
,0.56698,14.4897,0.54614,0.71698,1.6835,1.9721,1.9104,2.7503,0.99452,1.6835,1.3842,1.1454,0.13376,1.0382,,,,,,,,,,0.12293,5.8324,1,0.023349
,0.51269,16.4142,0.50654,0.75034,1.3226,1.7732,1.8945,2.1234,1.0518,1.2768,1.3226,1.1792,0.14272,1.0121,,,,,,,,,,0.098126,7.6468,1,0.018876
,0.5738,8.7731,0.57711,0.96418,1.2953,1.7503,2.009,2.3461,1.2173,1.2241,1.2953,1.1019,0.18792,0.99428,,,,,,,,,,0.20548,4.6924,1,0.03988
,0.55474,10.9805,0.59392,1.0935,1.7293,1.5445,1.9422,2.16,1.3366,1.7293,1.3323,1.3213,0.21451,0.93403,,,,,,,,,,0.15871,6.89,1,0.031782
,0.51955,8.1505,0.58894,0.78282,2.4281,1.7543,1.9231,2.1074,1.203,1.229,2.4281,2.1464,0.15324,0.88217,,,,,,,,,,0.20026,3.909,1,0.041263
,0.27324,7.1883,0.27776,0.3011,1.4786,1.4908,1.8245,2.5371,0.92928,1.4786,1.1544,1.0351,0.058663,0.98372,,,,,,,,,,0.11942,2.5215,1,0.023301
,0.49575,7.7543,0.48172,0.78417,1.3478,1.3366,2.025,1.907,1.3478,1.0848,1.2765,1.0643,0.15125,1.0291,,,,,,,,,,0.20085,3.9042,1,0.038316
,0.59035,9.7919,0.57946,0.69989,1.2634,1.4619,1.9788,1.9595,1.2634,1.2519,1.1882,1.0331,0.13368,1.0188,,,,,,,,,,0.18941,3.6952,1,0.036316
,0.77254,16.018,0.69759,0.54742,1.953,1.3018,2.0472,2.0788,1.4146,1.953,1.2317,1.061,0.1031,1.1074,,,,,,,,,,0.15152,3.6129,1,0.027864
,0.61215,14.2633,0.56049,0.86569,1.3076,1.3386,1.9168,1.8385,1.1871,1.1475,1.3076,1.1169,0.16096,1.0922,,,,,,,,,,0.13483,6.4206,1,0.024968
,0.51892,16.867,0.47588,0.81688,1.2778,1.3774,1.8945,1.7749,1.2778,1.1316,1.2732,1.087,0.14888,1.0905,,,,,,,,,,0.096653,8.4516,1,0.017913
,0.60442,14.2067,0.50147,0.87002,1.4563,1.7792,2.1141,2.1345,1.3732,1.2151,1.4563,1.1182,0.15759,1.2053,,,,,,,,,,0.13366,6.5094,1,0.023561
,0.52414,14.9426,0.45434,0.84407,1.2966,1.3366,1.756,1.9022,1.2873,1.1942,1.2966,1.0883,0.15381,1.1536,,,,,,,,,,0.1102,7.6596,1,0.019856
,0.60842,12.7351,0.55486,0.85431,1.2837,1.5116,1.8261,1.8147,1.1361,1.2837,1.2466,1.0838,0.15714,1.0965,,,,,,,,,,0.15009,5.692,1,0.027739
,0.61512,19.9234,0.5897,0.83816,1.8297,1.9373,2.0377,2.265,1.0582,1.8297,1.453,1.2207,0.15607,1.0431,,,,,,,,,,0.096994,8.6413,1,0.018379
,0.59311,13.4709,0.52851,0.84978,1.2449,1.5624,2.0043,1.9101,1.1775,1.2449,1.231,1.0714,0.15945,1.1222,,,,,,,,,,0.13832,6.1435,1,0.025269
,0.57899,14.8294,0.55118,0.77114,1.2427,1.4937,1.8722,2.3143,1.0773,1.1972,1.2427,1.0977,0.14316,1.0504,,,,,,,,,,0.12266,6.2869,1,0.023161
,0.50475,18.565,0.47706,0.81637,1.2719,1.4679,1.8849,2.144,1.1059,1.1236,1.2719,1.1045,0.15217,1.0581,,,,,,,,,,0.085414,9.5578,1,0.01607
,0.58545,13.2445,0.51897,0.85456,1.4349,1.7911,1.9104,2.2602,1.3,1.4349,1.2641,1.087,0.15974,1.1281,,,,,,,,,,0.13887,6.1537,1,0.025303
